Code	Name	On Sea	Type	Can Wait
425	PEBGA	0	OTHER	1
426	PEBGB	0	OTHER	1
427	PGBG	0	OTHER	1
428	PJSB	0	OTHER	1
429	PPAT	1	OTHER	1
430	PPAT1	1	OTHER	1
431	PPAT2	1	OTHER	1
432	PPAT3	1	OTHER	1
433	PPAT4	0	OTHER	1
434	PPL	0	OTHER	1
435	PPT	0	OTHER	1
436	PPW	0	OTHER	1
437	PRAF	0	OTHER	1
438	PSBG	0	OTHER	1
439	PW1	0	OTHER	1
440	PW1A	0	OTHER	1
441	PW2	0	OTHER	1
442	PW3	0	OTHER	1
443	PW3LC	0	OTHER	1
444	PW4	0	OTHER	1
445	PW5	0	OTHER	1
446	PW6	0	OTHER	1
447	PW7	0	OTHER	1
448	PW8	0	OTHER	1
449	PWBGA	0	OTHER	1
450	PWBGB	0	OTHER	1
451	RFT1	0	OTHER	1
452	RFT2	0	OTHER	1
453	RFT3	0	OTHER	1
454	RFT4	0	OTHER	1
455	RFT5	0	OTHER	1
456	RFT6	0	OTHER	1
457	RJ1	0	OTHER	1
458	RJ10	0	OTHER	1
459	RJ11	0	OTHER	1
460	RJ12	0	OTHER	1
461	RJ13	0	OTHER	1
462	RJ15	0	OTHER	1
463	RJ16	0	OTHER	1
464	RJ17	0	OTHER	1
465	RJ19	0	OTHER	1
466	RJ20	0	OTHER	1
467	RJ22	0	OTHER	1
468	RJ23	0	OTHER	1
469	RJ24	0	OTHER	1
470	RJ25	0	OTHER	1
471	RJ26	0	OTHER	1
472	RJ28	0	OTHER	1
473	RJ29	0	OTHER	1
474	RJ2A	0	OTHER	1
475	RJ2B	0	OTHER	1
476	RJ3	0	OTHER	1
477	RJ4	0	OTHER	1
478	RJ5A	0	OTHER	1
479	RJ5B	0	OTHER	1
480	RJ6	0	OTHER	1
481	RJ7	0	OTHER	1
482	RJ8	0	OTHER	1
483	RJ9	0	OTHER	1
484	RP10	0	OTHER	1
485	RP11	0	OTHER	1
486	RP12	0	OTHER	1
487	RP13	0	OTHER	1
488	RP14	0	OTHER	1
489	RP15	0	OTHER	1
490	RP16	0	OTHER	1
491	RP17	0	OTHER	1
492	RP18	0	OTHER	1
493	RP19	0	OTHER	1
494	RP20	0	OTHER	1
495	RP21	0	OTHER	1
496	RP22	0	OTHER	1
497	RP23	0	OTHER	1
498	RP24	0	OTHER	1
499	RP25A	0	OTHER	1
500	RP25B	0	OTHER	1
501	RP26	0	OTHER	1
502	RP27	0	OTHER	1
503	RP4	0	OTHER	1
504	RP5	0	OTHER	1
505	RP6	0	OTHER	1
506	RP8	0	OTHER	1
507	RP9	0	OTHER	1
508	S01	0	OTHER	1
509	S02	0	OTHER	1
510	S03	0	OTHER	1
511	S04	0	OTHER	1
512	S05	0	OTHER	1
513	S06	0	OTHER	1
514	S07	0	OTHER	1
515	SBJ	0	OTHER	1
516	SBS	0	OTHER	1
517	SCAF1	0	OTHER	1
518	SCAF2	0	OTHER	1
519	SEA1	0	NW	0
520	SEA10	0	NW	0
521	SEA11	0	NW	0
522	SEA2	0	NW	0
523	SEA3	0	NW	0
524	SEA4	0	NW	0
525	SEA5	0	NW	0
526	SEA6	0	NW	0
527	SEA7	0	NW	0
528	SEA8	0	NW	0
529	SEA9	0	NW	0
530	SENO	0	OTHER	1
531	SENOP	0	OTHER	1
532	SFT	0	OTHER	1
533	SLOY1	0	OTHER	1
534	SLOY2	0	OTHER	1
535	SLOY3	0	OTHER	1
536	SLOY4	0	OTHER	1
537	SLOY5	0	OTHER	1
538	SLOY6	0	OTHER	1
539	SLOY7	0	OTHER	1
540	SLOY8	0	OTHER	1
541	SS	0	OTHER	1
542	SSABY	0	OTHER	1
543	SSFD1	0	OTHER	1
544	SSFDP	0	OTHER	1
545	SSFDR	0	OTHER	1
546	SSFP	0	OTHER	1
547	SSGJ	0	OTHER	1
548	SSKG6	0	OTHER	1
549	SSL10	0	OTHER	1
550	SSL11	0	OTHER	1
551	SSL12	0	OTHER	1
552	SSL13	0	OTHER	1
553	SSL14	0	OTHER	1
554	SSL15	0	OTHER	1
555	SSL16	0	OTHER	1
556	SSL17	0	OTHER	1
557	SSL18	0	OTHER	1
558	SSL19	0	OTHER	1
559	SSL20	0	OTHER	1
560	SSL8	0	OTHER	1
561	SSL9	0	OTHER	1
562	SSPD	0	OTHER	1
563	ST16	0	OTHER	1
564	SWJ	0	OTHER	1
565	T01	0	CT	1
566	T02	0	CT	1
567	T03	0	CT	1
568	T04	0	CT	1
569	T05	0	CT	1
570	T06	0	CT	1
571	T07	0	CT	1
572	T08	0	CT	1
573	TAIRW	0	OTHER	1
574	TANAK	0	OTHER	1
575	TAPPW	0	OTHER	1
576	TAT	1	OTHER	1
577	TBAN	0	OTHER	1
578	TBK	0	OTHER	1
579	TBN1	0	OTHER	1
580	TBN33	0	OTHER	1
581	TBN6	0	OTHER	1
582	TBSB	0	OTHER	1
583	TBUAN	0	OTHER	1
584	TDMAR	0	OTHER	1
585	TEXJ	0	OTHER	1
586	TKHDS	0	OTHER	1
587	TKUSU	0	OTHER	1
588	TMFT	0	OTHER	1
589	TNB	0	OTHER	1
590	TPGBN	0	OTHER	1
591	TPUBN	0	OTHER	1
592	TPUS	0	OTHER	1
593	TRIBN	0	OTHER	1
594	TRITN	0	OTHER	1
595	TSAWA	0	OTHER	1
596	TSCAF	0	OTHER	1
597	TSEBN	0	OTHER	1
598	TSER	0	OTHER	1
599	TSIST	0	OTHER	1
600	TSLOY	0	OTHER	1
601	TSNKI	0	OTHER	1
602	TSNT	0	OTHER	1
603	VC01	0	OTHER	1
604	WCB	0	OTHER	1
605	WCF	0	OTHER	1
606	WJFP	0	OTHER	1
607	WP	0	OTHER	1
608	YAD1E	0	OTHER	1
609	YAD1W	0	OTHER	1
610	YAD2E	0	OTHER	1
611	YAD2W	0	OTHER	1
612	YAFD1	0	OTHER	1
613	YAFD2	0	OTHER	1
614	YAQA	0	OTHER	1
615	YAQB	0	OTHER	1
